proy.id,predio,localidad,rodal,conglomerado,huso,datum,x.utm,y.utm,parc,cuadrante,narb,esp,dens,dap,htot,hcc,dw.bark,dwe.tr.nobark,dw.stem,dw.branches,dw.leaves,dw.total,gw.bark,gw.stem,gw.branches,gw.leaves,gw.total,coef.redu.bark,coef.redu.stem,coef.redu.branches,coef.redu.leaves,coef.redu.total,p.dw.bark,p.dw.stem,p.dw.branches,p.dw.leaves,p.dw.total,wd
54,boquial,,,,18,WGS84,688965.1,5503247.8,,,5,ec,,60,29.7,13.3,,,1774.4559,116.1440864,51.55317911,1942.153165,,,,,,,,,,,,91.36539442,5.980171313,2.654434266,100,
54,boquial,,,,18,WGS84,688965.1,5503247.8,,,57,ec,,63.7,24.29,8.8,,,2153.045528,389.7489011,116.4489989,2659.243428,,,,,,,,,,,,80.9645896,14.65638298,4.379027422,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,2,lp,,27.1,15.4,8.2,,,174.6194177,45.1484842,17.82445665,237.5923586,,,,,,,,,,,,73.49538461,19.00249843,7.502116967,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,3,lp,,15.5,7.32,2.2,,,32.67509639,4.711924006,1.953038575,39.34005898,,,,,,,,,,,,83.05807679,11.97741978,4.964503425,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,4,lp,,26.6,15.98,7.7,,,192.853886,24.42466542,10.64695188,227.9255033,,,,,,,,,,,,84.61268406,10.71607392,4.671242015,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,15,lp,,11.9,10.76,3.85,,,35.72715144,7.288966458,5.555075002,48.5711929,,,,,,,,,,,,73.55625692,15.00676846,11.43697461,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,22,lp,,12.5,10.78,5.35,,,30.18407893,11.31871886,6.274751817,47.77754961,,,,,,,,,,,,63.17628087,23.69045494,13.1332642,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,26,lp,,7.3,8.18,2.1,,,10.32716503,2.774942797,2.812375996,15.91448383,,,,,,,,,,,,64.8916116,17.43658687,17.67180153,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,3,lp,,24.1,16.85,6.15,,,150.7731648,19.4024131,10.48836481,180.6639427,,,,,,,,,,,,83.45503953,10.73950497,5.805455506,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,45,lp,,21.8,16,9.75,,,125.8753146,15.31589225,8.610038565,149.8012454,,,,,,,,,,,,84.02821636,10.22414213,5.74764151,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,26,lp,,8.4,9.78,2.4,,,12.8922223,2.106787547,1.876393451,16.8754033,,,,,,,,,,,,76.39652856,12.48436858,11.11910286,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,37,lp,,10.5,11.48,3.4,,,15.20899993,3.682410535,2.251393286,21.14280375,,,,,,,,,,,,71.93464079,17.41685057,10.64850865,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,35,lp,,9.4,8.7,2,,,12.59162431,5.137209327,3.634176185,21.36300982,,,,,,,,,,,,58.94124664,24.04721699,17.01153637,100,
